end_of_interval	3	4	6	9	14	16	17	28	34	37	45	59	79	99	111	120	128	131	142	151	155	159	166	169	178	179	180	190	295	307	309	314	321	358	359	428	555	570	573	574	586	589	595	596	598	599	649	650	82683	82686	82777
2000-01-01 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9999	0	-9999	-9999	0	0	0	0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	0	0
2000-01-02 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9999	0	-9999	-9999	0	0	0	0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	0	0
2000-01-03 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9999	0	-9999	-9999	2	0	0	0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	0	0
2000-01-04 00:00:00	0	0	0	0	0	0	25.2	0	36	0	43	4	21	20	0	13	0	5	0	43	0	38.6	0	0	7	0	0	2.3	-9999	12	-9999	-9999	4	12	0	2.4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	1.2	0.5
2000-01-05 00:00:00	14.2	0	12	0	33.2	0	0	0	0	51	17	0	5	6	21	1.1	0	29	0	1	6	1.5	0	0	18	0	0	0	-9999	1	-9999	-9999	0	25	6	0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	44.6	4.6	0.4
2000-01-06 00:00:00	0	0	14	0	2.6	0	5.6	1.6	6	0	9.8	22.5	0	8	8	27.8	4.6	31.5	1.7	21.8	0	21.3	0	16	0	0	7	0	-9999	0	-9999	-9999	20	11	17	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	1.7	12	5
2000-01-07 00:00:00	22.5	2	0	24	1	0	0	0	7	0	0	0	18	0	21	0	0	17	26.1	32.8	10	0	0	8	0	20	17	3.2	-9999	16	-9999	-9999	25	0	0	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	26.7	0.8	0
2000-01-08 00:00:00	5	3	0	0	7.5	11	0	0	46	0	7	14	47	0	0	0	13	0	0	0	6	0	8	0	22	0	0	0	-9999	10	-9999	-9999	41	0	20	6.2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	0	14.2	0
2000-01-09 00:00:00	14	2	101	8.2	27	17	12.4	7.2	11	41	29.4	48	18	47	70	39.6	0	37	0	34.5	0	17.5	0	0	0	32	16	2.3	-9999	0	-9999	-9999	25	15	16	5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	55.5	54.6	13.8
