object	variable	location	weight
test1  	alb    	tower  	1      
test1  	doy    	any    	1      
test1  	glorad 	HS     	1      
test1  	hour   	any    	1      
test1  	rhum   	tower  	1      
test1  	temper 	tower  	1      
test1  	utc_add	any    	1      
