parameter	value
h_tempMeas	2
h_humMeas	2
h_windMeas	2
emis_a	0.34
emis_b	-0.14
fcorr_a	1.35
fcorr_b	-0.35
radex_a	0.25
radex_b	0.50
f_day	0.10
f_night	0.50
ext	0.5
res_b	25
drag_coef	0.07
rough_bare	0.01
eddy_decay	2.5
rss_a	26
rss_b	-1
na_val	-9999.
choice_et	13
choice_rcs	1
choice_roughLen	2
choice_plantDispl	1
choice_gloradmax	2
