object	variable	location	weight
test1  	alb    	HS     	1      
test1  	doy    	any    	1      
test1  	glorad 	Met    	1      
test1  	hour   	any    	1      
test1  	rhum   	Met    	1      
test1  	temper 	HS     	1      
test1  	utc_add	any    	1      
