end_of_interval	any
1981-08-01 00:00:00	392.119043441739
1981-09-01 00:00:00	423.982481290433
1981-10-01 00:00:00	441.721081450735
1981-11-01 00:00:00	444.021021667273
1981-12-01 00:00:00	442.574067870818
1982-01-01 00:00:00	446.245878258287
1982-02-01 00:00:00	449.329400493613
1982-03-01 00:00:00	439.013715081517
1982-04-01 00:00:00	410.114557711569
1982-05-01 00:00:00	375.355605106076
1982-06-01 00:00:00	355.545900864889
1982-07-01 00:00:00	362.805048340897
1982-08-01 00:00:00	392.119043441739
1982-09-01 00:00:00	423.982481290433
1982-10-01 00:00:00	441.721081450735
1982-11-01 00:00:00	444.021021667273
1982-12-01 00:00:00	442.574067870818
1983-01-01 00:00:00	446.245878258287
1983-02-01 00:00:00	449.329400493613
1983-03-01 00:00:00	439.013715081517
1983-04-01 00:00:00	410.114557711569
1983-05-01 00:00:00	375.355605106076
1983-06-01 00:00:00	355.545900864889
1983-07-01 00:00:00	362.805048340897
1983-08-01 00:00:00	392.119043441739
1983-09-01 00:00:00	423.982481290433
1983-10-01 00:00:00	441.721081450735
1983-11-01 00:00:00	444.021021667273
1983-12-01 00:00:00	442.574067870818
1984-01-01 00:00:00	446.245878258287
1984-02-01 00:00:00	449.329400493613
1984-03-01 00:00:00	439.013715081517
1984-04-01 00:00:00	410.114557711569
1984-05-01 00:00:00	375.355605106076
1984-06-01 00:00:00	355.545900864889
1984-07-01 00:00:00	362.805048340897
1984-08-01 00:00:00	392.119043441739
1984-09-01 00:00:00	423.982481290433
1984-10-01 00:00:00	441.721081450735
1984-11-01 00:00:00	444.021021667273
1984-12-01 00:00:00	442.574067870818
1985-01-01 00:00:00	446.245878258287
1985-02-01 00:00:00	449.329400493613
1985-03-01 00:00:00	439.013715081517
1985-04-01 00:00:00	410.114557711569
1985-05-01 00:00:00	375.355605106076
1985-06-01 00:00:00	355.545900864889
1985-07-01 00:00:00	362.805048340897
1985-08-01 00:00:00	392.119043441739
1985-09-01 00:00:00	423.982481290433
1985-10-01 00:00:00	441.721081450735
1985-11-01 00:00:00	444.021021667273
1985-12-01 00:00:00	442.574067870818
1986-01-01 00:00:00	446.245878258287
1986-02-01 00:00:00	449.329400493613
1986-03-01 00:00:00	439.013715081517
1986-04-01 00:00:00	410.114557711569
1986-05-01 00:00:00	375.355605106076
1986-06-01 00:00:00	355.545900864889
1986-07-01 00:00:00	362.805048340897
1986-08-01 00:00:00	392.119043441739
1986-09-01 00:00:00	423.982481290433
1986-10-01 00:00:00	441.721081450735
1986-11-01 00:00:00	444.021021667273
1986-12-01 00:00:00	442.574067870818
1987-01-01 00:00:00	446.245878258287
1987-02-01 00:00:00	449.329400493613
1987-03-01 00:00:00	439.013715081517
1987-04-01 00:00:00	410.114557711569
1987-05-01 00:00:00	375.355605106076
1987-06-01 00:00:00	355.545900864889
1987-07-01 00:00:00	362.805048340897
1987-08-01 00:00:00	392.119043441739
1987-09-01 00:00:00	423.982481290433
